companyID,mID,name
100,0119217,Be Gentlemen Limited Partnership
101,0119217,Lawrence Bender Productions
102,9728962,Sharpy
103,9728962,Wired Shut Production
104,0089470,Gomillion Studios
105,0089470,Delphi III Productions
106,0089470,The Guber-Peters Company
107,0425430,Screen Gems
108,0425430,Ghost House Pictures
109,0053666,Paris Film
110,0053666,Panitalia
111,8242058,Jam City
112,8242058,Portkey Games
113,0078780,Anaguel Films
114,0078780,Lisberger Studios
115,4595412,Marvel Entertainment
116,4595412,Marvel Television
117,10192704,Purplelight Pictures
118,7914938,Filmgerberei
119,0089695,Seasonal Film Corporation
120,0089695,New World Pictures
121,0084133,Kings Road Entertainment
122,0084133,Mark Films Ltd.
123,0084133,John M. Eckert Productions Ltd.
124,0493464,Spyglass Entertainment
125,0493464,Relativity Media
126,6053438,Killer Films
127,6053438,Omeira Studio Partners
128,6053438,Fibonacci Films
129,2262315,Anonymous Content
130,2262315,Ball & Chain Productions
131,2262315,Star Thrower Entertainment
132,6018502,Kenzo
133,6018502,MJZ
134,14140886,Empreinte Digitale
135,0048960,Michael Todd Company
136,6851410,BIND
137,6851410,KRO-NCRV
138,2319739,Dark Epic Films
139,9303756,Magic Light Pictures
140,9303756,Zweites Deutsches Fernsehen (ZDF)
141,0065889,Vera Films
142,0078417,Corporación Nacional Cinematográfica (CONACINE)
143,0078417,Productora Filmica Real
144,3654796,Blumhouse Productions
145,3654796,Duplass Brothers Productions
146,4963986,Defender Films
147,0762073,CJ Entertainment
148,0762073,Focus Features International
149,0762073,Benex Movie Expert Fund
150,0217756,Outlaw Productions (I)
151,0217756,Tollin/Robbins Productions
152,8141808,Hope Animation
153,8433210,Path of Thorns Entertainment
154,0118617,Fox Animation Studios
155,0118617,Twentieth Century Fox Animation
156,0203237,Movic
157,0203237,Pierrot
158,0203237,Shueisha
159,11697484,Daniel Grodnik Productions
160,11697484,Fury Film Franchise
161,11697484,Lucid Film
162,15837600,Latin World Entertainment (LWE)
