mID,name,releaseDate,popularity_score,popularity_delta,color,runtime,aspectratio,imdb_rating,grossingUS_CA,grossingUS_CA_OpeningWeekend,grossingWorldwide
0102510,The Naked Gun 2½: The Smell of Fear,"June 28, 1991",,,Color,85,1.85:1,6.9,"86,930,411","20,817,139","86,930,411"
0095647,Mississippi Burning,"January 27, 1989","2,034",117,Color,128,1.85:1,7.8,"34,603,943","225,034","34,603,943"
0118900,Gang Related,"October 8, 1997",,,Color,111,2.35:1,6.4,"5,906,773","2,443,237","5,906,773"
0066993,The Devils,"July 16, 1971","2,384","1,552",,111,2.35:1,7.8,"1,133,022",,
5164184,In Darkness,"May 25, 2018",,,Color,110,2.35:1,5.7,,,
1727816,Screwed,"June 3, 2011",,,,110,2.35:1,5.6,,,"34,904"
0106469,"Blood In, Blood Out","April 30, 1993","3,145",29,Color,180,1.66:1,7.9,"4,496,583","1,002,548","4,496,583"
0454082,Black Christmas,"December 25, 2006",,,Color,95,2.35:1,4.6,"16,273,581","3,723,364","21,510,851"
0101143,British Men Behaving Badly,"October 8, 2000","4,558",963,Color,45,,7.7,,,
10925572,Minkavlerne,"September 1, 2019","2,705",367,Color,,,7.3,,,
0161292,Bleeder,"August 6, 1999",,,Color,98,2.35:1,6.8,,,
0044386,Robinson Crusoe,"August 5, 1954",,,,90,1.66:1,6.7,,,
0088680,After Hours,"October 11, 1985","3,192",440,Color,97,1.85:1,7.6,"10,609,321","45,435","10,609,321"
0094625,Akira,"June 28, 1991","2,298",86,Color,124,1.85:1,8.0,"553,171","11,263","2,552,884"
8801454,Shadow hunters,"November 20, 2017",,,,45,,6.9,,,
1235189,Wild Target,"June 18, 2010",,,Color,98,2.35:1,6.7,"108,589","23,174","3,494,154"
3864056,The Goldfinch,"September 13, 2019","1,251","1,539",Color,149,1.85:1,6.3,"5,332,621","2,679,027","9,932,621"
0763840,Home of the Brave,"January 5, 2007",,,Color,106,2.35:1,5.6,"51,708","6,000","499,620"
1373156,Karthik Calling Karthik,"February 26, 2010",,,Color,135,,7.1,"286,409","179,643","3,627,172"
1805647,Aoi Bungaku Series,"October 11, 2009",,,,22,,7.6,,,
0331953,Club Dread,"February 27, 2004",,,Color,104,2.35:1,5.6,"5,001,708","3,035,688","7,565,807"
12048276,2gether,"February 21, 2020","3,267",126,,50,,8.1,,,
1407061,Just Wright,"May 14, 2010",,,Color,100,2.35:1,5.9,"21,540,363","8,284,989","21,584,424"
0080461,"Bon Voyage, Charlie Brown (and Don't Come Back!!)","May 30, 1980",,,Color,75,1.85:1(originallyintendedratio),7.2,"2,013,193",,"2,013,193"
0086659,'Allo 'Allo!,"December 30, 1982","1,534",9,Color,45,1.33:1,8.4,,,
0060831,Picture Mommy Dead,"September 12, 1969",,,,82,1.85:1,5.3,,,
1966385,City of Tiny Lights,"July 26, 2017",,,Color,110,2.35:1,5.5,,,"54,903"
3212608,Algorithm: BLISS,"June 2, 2020",,,Color,101,2.39:1,6.2,,,
1596363,The Big Short,"December 23, 2015",421,82,Color,130,2.35:1,7.8,"70,259,870","705,527","133,440,870"
1015471,The Sisterhood of Night,"October 18, 2014",,,Color,104,2.35:1,6.1,"6,870","5,264","6,870"
0084997,Chiefs,"November 13, 1983",,,Color,200,1.33:1,8.1,,,
0103962,Christopher Columbus: The Discovery,"August 21, 1992",,,Color,120,2.35:1,4.4,"8,251,071","3,101,563","8,251,071"
0090888,Crossroads,"March 14, 1986",,,Color,99,1.85:1,7.1,"5,839,031","2,071,680","5,839,031"
0074291,Fellini's Casanova,"February 11, 1977",,,,155,1.85:1,7.0,,,
18071320,The Gemini Lounge,,,,,,,,,,
0066195,The Owl and the Pussycat,"November 3, 1970",,,,95,2.35:1,6.4,"23,681,338",,
0102383,Malina,"January 17, 1991",,,Color,125,1.78:1,6.4,,,
0067280,Journey Back to Oz,"December 5, 1974",,,,88,1.37:1,5.9,,,
0203119,Sexy Beast,"July 13, 2001","2,828",324,Color,89,2.35:1,7.3,"6,946,056","170,356","10,045,893"
6895284,Itsy Bitsy,"December 30, 2019",,,Color,94,2.39:1,4.9,,,
0089338,Cut and Run,"May 2, 1986",,,,90,1.85:1,5.7,"374,530",,
0995845,The Courier,"May 17, 2012",,,Color,95,2.35:1,4.5,,,"58,387"
0093748,"Planes, Trains & Automobiles","November 25, 1987","3,670",187,Color,93,1.85:1,7.6,"49,530,280","7,009,482","49,530,280"
0097162,Dead Calm,"April 7, 1989","4,239",271,Color,96,2.39:1,6.8,"7,825,009","2,463,551","7,825,009"
12279642,Lov3,"February 18, 2022","3,842",280,,30,,6.6,,,
0090633,An American Tail,"November 21, 1986","4,646",714,Color,80,,6.9,"47,483,002","5,234,446","84,542,002"
10478562,GhostWire: Tokyo,"March 25, 2022",,,Color,,,6.7,,,
3138558,Preservation,"January 9, 2015",,,Color,88,2.35:1,4.8,,,
0185371,House on Haunted Hill,"October 29, 1999","4,685",527,,93,"1.33:1(originalratio,openmatte)",5.6,"40,846,082","15,946,032","42,593,455"
0366627,The Jacket,"March 4, 2005",,,Color,103,2.35:1,7.1,"6,303,762","2,723,682","21,733,230"
0089964,Savage Island,September 1985,,,Color,79,,3.4,,,
9073746,Marvel Rising: Heart of Iron,"March 31, 2019",,,Color,44,,5.2,,,
4136456,The Virtuoso,"April 30, 2021","2,468",313,Color,110,2.35:1,4.9,,,"21,356"
0018037,The Jazz Singer,"February 4, 1928",,,Black and White,88,1.33:1,6.4,,,
0036391,Stormy Weather,"November 17, 1943",,,Black and White,78,1.37:1,7.3,,,
3339674,Burying the Ex,"June 19, 2015",,,Color,89,2.39:1,5.4,,,"668,777"
0119843,Oscar and Lucinda,"December 31, 1997",,,Color,132,2.35:1,6.6,"1,897,404","83,461","1,897,404"
0062886,The Devil's Brigade,"August 2, 1968",,,Color,130,2.35:1,6.7,"8,000,000",,
5807628,The Last Dragonslayer,"December 25, 2016",,,Color,101,2.00:1,5.6,,,
0112508,Billy Madison,"February 10, 1995","2,399",45,Color,89,1.85:1,6.3,"25,588,734","6,639,080","26,488,734"
8328740,Okko's Inn,"September 21, 2018",,,Color,94,1.78:1,7.0,"134,787",763,"317,547"
0337764,Hotel Erotica,"October 4, 2002",,,Color,29,,6.0,,,
0110857,Police Academy: Mission to Moscow,"August 26, 1994",,,Color,83,1.85:1,3.4,"126,247",,"126,247"
