genre,mID
History,5822848
Biography,5827916
Drama,5827916
Romance,5827916
War,5827916
Action,9283920
Comedy,9283920
Drama,9283920
Thriller,9283920
Action,0452608
Sci-Fi,0452608
Thriller,0452608
Comedy,12246190
Fantasy,12246190
Mystery,12246190
Drama,1743281
Romance,1743281
Thriller,1743281
Crime,15229966
Drama,15229966
Mystery,15229966
Thriller,15229966
Adventure,6910006
Drama,6910006
Drama,6089700
Horror,6089700
Mystery,6089700
Thriller,6089700
Adventure,10798660
Family,10798660
Fantasy,10798660
Adventure,0042367
Drama,0042367
Romance,0042367
Comedy,0072288
Crime,0072288
Drama,0072288
Drama,0093170
History,0093170
Horror,0093170
War,0093170
Action,5776468
Sci-Fi,5776468
Thriller,5776468
Action,3458254
Drama,3458254
Horror,3458254
Sci-Fi,3458254
Horror,0089013
Biography,5311542
Drama,5311542
Romance,5311542
Thriller,5311542
War,5311542
Action,7991608
Comedy,7991608
Thriller,7991608
Comedy,0102510
Crime,0102510
Crime,0095647
Drama,0095647
History,0095647
Mystery,0095647
Thriller,0095647
Action,0118900
Crime,0118900
Drama,0118900
Romance,0118900
Thriller,0118900
Biography,0066993
Drama,0066993
History,0066993
Mystery,5164184
Thriller,5164184
Crime,1727816
Drama,1727816
Crime,0106469
Drama,0106469
Horror,0454082
Comedy,0101143
Comedy,10925572
Crime,0161292
Drama,0161292
Adventure,0044386
Drama,0044386
Family,0044386
Comedy,0088680
Crime,0088680
Drama,0088680
Thriller,0088680
Animation,0094625
Action,0094625
Drama,0094625
Fantasy,0094625
Sci-Fi,0094625
Thriller,0094625
Action,8801454
Crime,8801454
Drama,8801454
Action,1235189
Comedy,1235189
Crime,1235189
Drama,3864056
Action,0763840
Drama,0763840
War,0763840
Drama,1373156
Mystery,1373156
Romance,1373156
Thriller,1373156
Animation,1805647
Drama,1805647
History,1805647
Comedy,0331953
Horror,0331953
Mystery,0331953
Thriller,0331953
Comedy,12048276
Drama,12048276
Romance,12048276
Comedy,1407061
Romance,1407061
Sport,1407061
Animation,0080461
Adventure,0080461
Comedy,0080461
Family,0080461
Comedy,0086659
History,0086659
War,0086659
Horror,0060831
Thriller,0060831
Crime,1966385
Drama,1966385
Mystery,1966385
Thriller,1966385
Drama,3212608
Horror,3212608
Romance,3212608
Sci-Fi,3212608
Thriller,3212608
Biography,1596363
Comedy,1596363
Drama,1596363
History,1596363
Drama,1015471
Mystery,1015471
Thriller,1015471
Crime,0084997
Drama,0084997
Mystery,0084997
Thriller,0084997
Adventure,0103962
Biography,0103962
Drama,0103962
History,0103962
Drama,0090888
Music,0090888
Mystery,0090888
Romance,0090888
Biography,0074291
Drama,0074291
History,0074291
Romance,0074291
Crime,18071320
Drama,18071320
Thriller,18071320
Comedy,0066195
Romance,0066195
Drama,0102383
Fantasy,0102383
Mystery,0102383
Romance,0102383
Animation,0067280
Adventure,0067280
Comedy,0067280
Fantasy,0067280
Musical,0067280
Crime,0203119
Drama,0203119
Thriller,0203119
Fantasy,6895284
Horror,6895284
Mystery,6895284
Thriller,6895284
Adventure,0089338
Horror,0089338
Thriller,0089338
Action,0995845
Crime,0995845
Drama,0995845
Mystery,0995845
Thriller,0995845
Comedy,0093748
Drama,0093748
Horror,0097162
Thriller,0097162
Comedy,12279642
Drama,12279642
Romance,12279642
Animation,0090633
Adventure,0090633
Comedy,0090633
Drama,0090633
Family,0090633
Musical,0090633
Action,10478562
Adventure,10478562
Fantasy,10478562
Horror,10478562
Horror,3138558
Thriller,3138558
Crime,0185371
Fantasy,0185371
Horror,0185371
Mystery,0185371
Thriller,0185371
Drama,0366627
Fantasy,0366627
Mystery,0366627
Sci-Fi,0366627
Thriller,0366627
Action,0089964
Crime,0089964
Drama,0089964
Thriller,0089964
Animation,9073746
Short,9073746
Action,9073746
Adventure,9073746
Sci-Fi,9073746
Action,4136456
Thriller,4136456
Drama,0018037
Music,0018037
Musical,0018037
Romance,0018037
Comedy,0036391
Drama,0036391
Music,0036391
Romance,0036391
Comedy,3339674
Horror,3339674
Romance,3339674
Drama,0119843
Romance,0119843
Action,0062886
Drama,0062886
War,0062886
Adventure,5807628
Comedy,5807628
Fantasy,5807628
Comedy,0112508
Animation,8328740
Adventure,8328740
Drama,8328740
Family,8328740
Fantasy,8328740
Adventure,0337764
Drama,0337764
Fantasy,0337764
Romance,0337764
Comedy,0110857
Crime,0110857
Biography,1194417
Comedy,1194417
Crime,1194417
Drama,1194417
Action,2350892
Crime,2350892
Drama,2350892
Mystery,2350892
Thriller,2350892
Action,7052494
Drama,7052494
Sport,7052494
Thriller,7052494
Horror,0053232
Sci-Fi,0053232
Biography,0117631
Drama,0117631
Music,0117631
Romance,0117631
Action,1217613
Sci-Fi,1217613
Drama,12594678
Drama,4034228
Documentary,1152758
Biography,1152758
Crime,1152758
Drama,1152758
Adventure,9174578
Comedy,9174578
Action,6205872
Comedy,6205872
Crime,6205872
Drama,6205872
Horror,6205872
Thriller,6205872
Comedy,0273982
Drama,0273982
Sport,0273982
Thriller,0273982
Animation,3105422
Sport,3105422
Animation,7129636
Short,7129636
Comedy,7129636
Drama,7129636
Family,7129636
Action,0098471
Comedy,0098471
Action,0120569
Adventure,0120569
Fantasy,0120569
Action,4648786
Biography,4648786
Drama,4648786
History,4648786
Comedy,0115685
Drama,15169492
Mystery,15169492
Drama,1319694
History,1319694
Mystery,1319694
Thriller,1319694
War,1319694
Comedy,2112210
Romance,2112210
Comedy,0118178
Family,0118178
Fantasy,0118178
Comedy,0060522
Crime,0060522
Romance,0060522
Animation,11351236
Comedy,11351236
Family,11351236
Comedy,13642264
Romance,13642264
Animation,1620981
Comedy,1620981
Family,1620981
Fantasy,1620981
Horror,1620981
Action,0097444
Sci-Fi,0097444
Thriller,0097444
Action,0920448
Crime,0920448
Drama,0920448
Thriller,0920448
Horror,10899402
Mystery,10899402
Thriller,10899402
Drama,7521898
Romance,7521898
Thriller,2866708
Short,4321306
Crime,4321306
Drama,4321306
Horror,4321306
Fantasy,9086228
Horror,9086228
Mystery,9086228
Thriller,9086228
Drama,1895315
Mystery,1895315
Thriller,1895315
Western,1895315
Family,0031405
Animation,0031405
Short,0031405
Comedy,0031405
Comedy,2461172
Comedy,3859304
Drama,3859304
Sport,3859304
Crime,9169636
Animation,9653068
Short,9653068
Action,9653068
Sci-Fi,9653068
Thriller,9653068
Drama,0119404
Romance,0119404
Drama,13846414
Romance,13846414
Comedy,0112466
Sci-Fi,0112466
Adventure,0107870
Comedy,0107870
Family,0107870
Fantasy,0107870
Sci-Fi,0107870
Comedy,14533820
Drama,14533820
Horror,14533820
Adventure,0057813
Drama,0057813
War,0057813
Action,0317740
Crime,0317740
Thriller,0317740
Action,6409762
Adventure,6409762
Horror,6409762
Thriller,6409762
Drama,1139797
Fantasy,1139797
Horror,1139797
Romance,1139797
Drama,7653254
Romance,7653254
Comedy,0418131
Family,0418131
Sport,0418131
Drama,7377132
Mystery,7377132
Thriller,7377132
Crime,0080365
Drama,0080365
Mystery,0080365
Romance,0080365
Thriller,0080365
Action,0088100
Adventure,0088100
Comedy,0088100
Horror,0088100
Sci-Fi,0088100
Thriller,0088100
Action,0103239
Crime,0103239
Drama,0103239
Sci-Fi,0103239
Thriller,0103239
Action,7826034
Horror,7826034
Sci-Fi,7826034
Thriller,7826034
Horror,1519461
Mystery,1519461
Sci-Fi,1519461
Thriller,1519461
Action,1928330
Comedy,1928330
Crime,1928330
Thriller,1928330
Drama,5598292
Horror,5598292
Mystery,5598292
Thriller,5598292
Drama,8267604
Drama,0080419
Romance,0080419
Comedy,0131857
Sport,0131857
Action,0318081
Adventure,0318081
Horror,0318081
Sci-Fi,0318081
Thriller,0318081
Crime,10199590
Drama,10199590
Thriller,10199590
Comedy,0027260
Crime,0027260
Mystery,0027260
Comedy,0964587
Family,0964587
Action,4442758
Crime,4442758
Drama,4442758
Comedy,0113416
Drama,0113416
Romance,0113416
Adventure,0312528
Comedy,0312528
Family,0312528
Fantasy,0312528
Action,6904272
Crime,6904272
Thriller,6904272
Crime,0271295
Drama,0271295
Mystery,0271295
Action,0069895
Horror,0069895
Sci-Fi,0069895
Comedy,0093624
Fantasy,0093624
Horror,0093624
Action,0050858
Adventure,0050858
Drama,0050858
Romance,0050858
War,0050858
Drama,0935075
Horror,5022702
Thriller,5022702
Action,4154664
Adventure,4154664
Sci-Fi,4154664
Biography,0035211
Drama,0035211
Romance,0035211
Sport,0035211
Comedy,0286788
Drama,0286788
Family,0286788
Romance,0286788
Action,0063946
Comedy,0063946
Crime,0063946
Drama,0063946
Fantasy,0063946
Mystery,0063946
Comedy,13612448
Animation,4773054
Action,4773054
Drama,4773054
Fantasy,4773054
History,4773054
Drama,0449467
Action,5302168
Crime,5302168
Sci-Fi,5302168
Thriller,5302168
Action,0107711
Drama,0107711
Romance,0107711
Thriller,0107711
Action,0109890
Adventure,0109890
Crime,0109890
Drama,0109890
Thriller,0109890
Action,0094074
Adventure,0094074
Sci-Fi,0094074
Comedy,10449370
Drama,10449370
Music,10449370
Mystery,10449370
Romance,10449370
Sci-Fi,5795154
Comedy,3208802
Short,8936944
Action,8936944
Family,8936944
Fantasy,8936944
Drama,0826593
Sci-Fi,0826593
Thriller,0826593
Adventure,0090357
Fantasy,0090357
Mystery,0090357
Thriller,0090357
Animation,17024632
Fantasy,17024632
Action,0365847
Adventure,0365847
Comedy,0365847
Drama,0365847
Fantasy,0365847
Biography,2837574
Comedy,2837574
Crime,2837574
Drama,2837574
Romance,2837574
Action,0169473
Animation,0169473
Sci-Fi,0169473
Drama,2122313
Fantasy,2122313
Horror,2122313
Mystery,2122313
Thriller,2122313
Adventure,4210080
Comedy,4210080
Drama,4210080
Family,4210080
Crime,10986050
Drama,10986050
Mystery,10986050
Action,10944486
Comedy,10944486
Drama,10944486
Sport,10944486
Crime,0102460
Drama,0102460
Crime,2326204
Drama,2326204
Crime,5540188
Drama,5540188
Mystery,5540188
Thriller,5540188
Action,2923316
Crime,2923316
Drama,2923316
Thriller,2923316
Biography,0210945
Drama,0210945
Sport,0210945
Horror,12399056
Thriller,12399056
Action,1440728
Crime,1440728
Drama,1440728
Thriller,1440728
Romance,11283014
Sci-Fi,11283014
Action,11138512
Adventure,11138512
Drama,11138512
Fantasy,11138512
History,11138512
Thriller,11138512
Short,11343494
Comedy,11343494
Fantasy,11343494
Animation,0293416
Adventure,0293416
Drama,0293416
Sci-Fi,0293416
Drama,2049543
Mystery,2049543
Romance,2049543
Sci-Fi,2049543
Biography,1398426
Drama,1398426
