locationID,mID
19,6490930
27,0054067
,14342730
3,0171356
3,0089200
,5534434
134,12550376
,2373094
135,0362942
,7089878
3,0120241
124,0403407
33,1340094
136,15214902
98,3688342
137,3696720
,12882620
138,13152186
139,0220261
68,0115759
140,14112080
94,2980210
,2055789
,7339862
68,0295178
,5198890
3,0421206
39,0145660
3,0036696
,15181094
141,11057644
12,0072271
43,1253864
142,8595586
,3893620
,6992978
,14408016
3,0350774
,4185364
3,0098143
100,0184894
,8585954
8,0217107
,9603082
,11460508
27,0090881
3,0050143
143,0119707
7,0072239
8,0107302
3,0026714
14,9272568
144,0265086
3,1828970
,8707436
,13130838
,14115938
145,0422720
,9000224
40,2390791
,0417503
,2652864
,0098492
,10998174
7,0120738
3,4925292
146,1031280
19,0046126
30,0050086
19,7040874
147,0052893
148,0120780
7,9861332
3,0449092
,0322645
8,0107978
149,0325655
9,0496436
40,5144174
3,0117008
,0166973
3,0050147
,10933680
95,12015102
8,13186604
3,1186370
,4112470
,16150204
150,0064546
19,0377713
151,6208148
4,0092493
,5372890
3,11274100
,6032812
152,6476140
3,0095655
19,0432348
7,1320296
,8387464
7,0086618
3,0094061
153,0065481
7,0366777
3,1748207
154,0075936
155,0118607
156,2719848
157,0041838
158,12466076
,0159901
