companyID,mID,name
189,tt5726616,Frenesy Film Company
190,tt5726616,La Cinéfacture
191,tt5726616,RT Features
192,tt13560574,MAD SOLAR
193,tt0120338,Lightstorm Entertainment
194,tt4244994,Pearl Street Films
195,tt10366460,Vendôme Pictures
196,tt10366460,Pathé Films
197,tt10366460,Picture Perfect Federation
198,tt5537002,Appian Way
199,tt5537002,Apple TV+
200,tt5537002,Imperative Entertainment
201,tt0144084,Am Psycho Productions
202,tt0144084,Lions Gate Films
203,tt0144084,Muse Productions
204,tt7131622,Bona Film Group
205,tt9115530,Freckle Films
206,tt9115530,MWM Studios
207,tt13320622,3dot productions
208,tt13320622,Exhibit A
209,tt2184390,1804 Productions
210,tt2184390,Pigasus Pictures
211,tt0993840,The Stone Quarry
212,tt7740496,Double Dare You (DDY)
213,tt0351283,Pacific Data Images (PDI)
214,tt11755740,Bad Hombre
215,tt11755740,Exurbia Films
216,tt0087182,Dino De Laurentiis Company
217,tt0087182,Estudios Churubusco Azteca S.A.
218,tt11214590,Metro-Goldwyn-Mayer (MGM)
219,tt15374070,Roswell Films
220,tt15374070,Therapy Studios
221,tt14039582,Bitters End
222,tt14039582,Bungeishunju
223,tt14039582,C&I Entertainment
224,tt0241527,1492 Pictures
225,tt4263482,Parts and Labor
226,tt4263482,Rooks Nest Entertainment
